person	document_count	total_words	first_date	last_date	organization_diversity	family_diversity	process_diversity	collection_diversity	document_type_diversity	institutional_breadth_score	centrality_score	top_families	top_organizations	top_processes	top_collections	top_document_types	interpretation_note
И.М. Орловская-Мрачковская	1	358	1936-05-19T18:37:00	1936-05-19T18:37:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	СПРАВКА:1	letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.М. Покатиловского	1	579	1935-04-14T00:05:00	1935-04-14T00:05:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.Ф. Флакса	1	2343	1936-07-08T10:49:00	1936-07-08T10:49:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
К.А. Апанасевича	1	472	1935-01-17T00:00:00	1935-01-17T00:00:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
К.Д. Мучникова	1	1601	1937-02-05T20:58:14	1937-02-05T20:58:14	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
К.Я. Янсона	1	809	1935-11-14T17:12:00	1935-11-14T17:12:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.А. Воронова	1	1053	1935-04-22T00:00:00	1935-04-22T00:00:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.К. Пелипейко	1	1108	1935-03-28T07:00:00	1935-03-28T07:00:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ИНО ГУГБ:1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.Л. Авербахе	1	1610	1937-01-19T10:58:03	1937-01-19T10:58:03	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.А. Нариманова	1	3598	1937-01-07T17:14:25	1937-01-07T17:14:25	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	memo_note:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.В. Келдыша	1	1531	1936-11-19T01:01:49	1936-11-19T01:01:49	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.В. Кузнецова	1	1610	1937-01-19T10:58:03	1937-01-19T10:58:03	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.Д. Багирова	1	3598	1937-01-07T17:14:25	1937-01-07T17:14:25	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	memo_note:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.Л. Елина	1	2283	1936-04-25T00:56:00	1936-04-25T00:56:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.М. Михайлова	1	1272	1935-03-31T02:00:00	1935-03-31T02:00:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.М. Харитоновым	1	1644	1935-01-11T08:00:00	1935-01-11T08:00:00	3	2	1	1	1	13	51	security_apparatus:1 | international:1	ГУГБ:1 | Коминтерн:1 | НКВД:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	confrontation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Н.А. Емельянова	1	352	1935-01-02T22:01:33	1935-01-02T22:01:33	3	2	1	1	1	13	51	press_media:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | Правда:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Н.А. Королева	1	981	1936-10-26T21:46:25	1936-10-26T21:46:25	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Н.И. Третьякова	1	1776	1936-10-16T18:30:07	1936-10-16T18:30:07	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Н.С. Веритовой	1	1002	1936-04-11T01:00:00	1936-04-11T01:00:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Н.Ф. Печерского	1	2780	1936-06-03T07:12:00	1936-06-03T07:12:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
О.А. Лидака	1	2224	1936-09-13T14:53:24	1936-09-13T14:53:24	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
П.И. Жиромского	1	716	1935-04-30T00:10:00	1935-04-30T00:10:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
П.К. Башенкова	1	553	1933-03-31T11:31:26	1933-03-31T11:31:26	3	2	1	1	1	13	51	party_apparatus:1 | state_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | Совнарком:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	ПРЕДЫСТОРИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
П.Н. Королева	1	3073	1936-12-22T16:01:38	1936-12-22T16:01:38	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
П.П. Григорьева	1	3562	1936-12-30T19:44:18	1936-12-30T19:44:18	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
П.Т. Богачева	1	2129	1936-11-14T09:20:01	1936-11-14T09:20:01	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Р.А. Грюнштейн	1	4197	1936-07-04T00:10:00	1936-07-04T00:10:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Р.И. Тодорской	1	1396	1937-01-19T13:03:15	1937-01-19T13:03:15	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Р.Ф. Брамбилло	1	2929	1937-02-15T10:47:34	1937-02-15T10:47:34	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
С.А. Раевского	1	1018	1936-10-08T14:51:00	1936-10-08T14:51:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | КПК:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
С.А. Розентретера	1	925	1936-05-05T01:10:00	1936-05-05T01:10:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
С.А. Саркисова	1	208	1936-11-25T19:19:49	1936-11-25T19:19:49	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	memo_note:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
С.А. Туровского	1	868	1936-10-06T17:03:46	1936-10-06T17:03:46	3	2	1	1	1	13	51	press_media:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | Правда:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
С.В. Слащева	1	962	1936-04-11T03:00:00	1936-04-11T03:00:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
С.Г. Семенова	1	358	1935-01-09T06:00:00	1935-01-09T06:00:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
С.И. Кавтарадзе	1	4321	1937-01-17T12:02:38	1937-01-17T12:02:38	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
С.М. Житомирского	1	1375	1935-04-14T01:05:00	1935-04-14T01:05:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
С.П. Раевского	1	1442	1935-03-21T03:00:00	1935-03-21T03:00:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
С.П. Распевакина	1	996	1936-04-23T01:00:00	1936-04-23T01:00:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Ф.И. Мерзликина	1	2333	1937-01-16T19:49:01	1937-01-16T19:49:01	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Ф.И. Шубина	1	3507	1936-10-28T20:19:52	1936-10-28T20:19:52	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Ю.Д. Урусова	1	1170	1935-04-25T00:49:00	1935-04-25T00:49:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Ю.С. Фридлянда	1	1199	1936-04-20T04:00:00	1936-04-20T04:00:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Я.И. Зайдмана	1	5838	1936-09-24T00:36:00	1936-09-24T00:36:00	3	2	1	1	1	13	51	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦК ВКП(б):1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.С. Окуджавы	3	3189	1936-08-27T17:02:48	1937-02-10T16:58:51	2	1	2	1	2	12	50	security_apparatus:1	ГУГБ:1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	interrogation_protocol:2 | statement:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.А. Трояновского	4	711	1937-01-23T20:54:34	1937-01-26T17:58:39	2	2	1	1	1	12	49	party_apparatus:3 | state_apparatus:3	Политбюро:3 | НКИД:3	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4	ДРУГИЕ ДОКУМЕНТЫ:4	telegram:4	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Д.Л. Игнатюка	4	3188	1935-10-07T18:43:00	1935-12-20T00:04:00	2	2	1	1	1	12	49	security_apparatus:2 | press_media:1	НКВД:2 | Правда:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	МАТЕРИАЛЫ СЛЕДСТВИЯ:4	interrogation_protocol:4	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Б.М. Нижника	3	2031	1935-11-16T19:07:00	1935-12-11T01:04:00	2	2	1	1	1	12	48	party_apparatus:2 | security_apparatus:1	ВКП(б):2 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	interrogation_protocol:3	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Е.А. Петровой	3	2275	1935-03-13T06:00:00	1935-04-01T04:00:00	2	2	1	1	1	12	48	security_apparatus:2 | party_apparatus:2	ГУГБ:2 | ВКП(б):2	КРЕМЛЕВСКОЕ ДЕЛО:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	interrogation_protocol:3	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.А. Лаврентьева	3	2962	1935-11-04T18:10:00	1935-11-15T17:13:00	2	2	1	1	1	12	48	security_apparatus:3 | party_apparatus:1	ГУГБ:3 | ВКП(б):1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	interrogation_protocol:3	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.С. Куклиным	2	498	1935-01-02T20:00:00	1935-01-07T07:00:00	2	2	1	1	1	12	47	security_apparatus:2 | state_apparatus:1	ГУГБ:2 | Совнарком:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	confrontation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Б.И. Лехтмана	2	3442	1935-11-28T19:07:00	1935-12-22T00:04:00	2	2	1	1	1	12	47	state_apparatus:2 | security_apparatus:1	Совнарком:2 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
В.В. Досекина	2	1279	1936-03-02T00:42:00	1936-03-10T01:22:00	2	2	1	1	1	12	47	security_apparatus:2 | party_apparatus:2	ГУГБ:2 | ВКП(б):2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
В.Н. Ракова	2	1737	1936-02-21T01:42:00	1936-02-28T00:42:00	2	2	1	1	1	12	47	security_apparatus:2 | party_apparatus:2	ГУГБ:2 | ВКП(б):2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
З.В. Флоровой	2	2138	1936-02-26T01:42:00	1936-05-08T01:10:00	2	2	1	1	1	12	47	security_apparatus:2 | party_apparatus:2	ГУГБ:2 | ВКП(б):2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
К.А. Озола	2	2373	1936-03-21T06:00:00	1936-03-28T03:00:00	2	2	1	1	1	12	47	security_apparatus:2 | party_apparatus:2	ГУГБ:2 | ВКП(б):2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
К.Н. Емельянова	2	840	1934-12-19T10:00:00	1934-12-19T11:00:00	2	2	1	1	1	12	47	security_apparatus:2 | party_apparatus:1	ГУГБ:2 | ВКП(б):1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.В. Муравьева	2	608	1934-12-16T03:00:00	1934-12-19T00:00:00	2	2	1	1	1	12	47	party_apparatus:1 | international:1	ВКП(б):1 | Коминтерн:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
С.О. Мандельштама	2	1303	1934-12-17T06:01:03	1934-12-18T04:01:54	2	2	1	1	1	12	47	security_apparatus:1 | party_apparatus:1	ВКП(б):1 | НКВД:1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Я.И. Богомольного	2	700	1934-12-17T07:00:00	1934-12-31T06:00:00	2	2	1	1	1	12	47	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.А. Абрамова	1	1345	1936-11-29T14:43:23	1936-11-29T14:43:23	2	2	1	1	1	12	46	press_media:1 | party_apparatus:1	ВКП(б):1 | Правда:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.А. Израилитина	1	264	1935-01-13T01:00:00	1935-01-13T01:00:00	2	2	1	1	1	12	46	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	testimony:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.Г. Корчагиной	1	1085	1935-03-23T01:00:00	1935-03-23T01:00:00	2	2	1	1	1	12	46	security_apparatus:1 | state_apparatus:1	ГУГБ:1 | ЦИК СССР:1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.К. Бормана	1	913	1935-12-17T21:03:15	1935-12-17T21:03:15	2	2	1	1	1	12	46	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	ПРЕДЫСТОРИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.М. Ясюкевича	1	1547	1936-09-23T05:36:00	1936-09-23T05:36:00	2	2	1	1	1	12	46	press_media:1 | party_apparatus:1	ВКП(б):1 | Правда:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.Н. Фокина	1	1036	1936-04-29T01:00:00	1936-04-29T01:00:00	2	2	1	1	1	12	46	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.С. Оввян	1	993	1936-04-22T03:00:00	1936-04-22T03:00:00	2	2	1	1	1	12	46	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
В.А. Антонов-Овсеенко	1	978	1928-04-08T15:09:15	1928-04-08T15:09:15	2	2	1	1	1	12	46	press_media:1 | party_apparatus:1	Политбюро:1 | Правда:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	statement:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
В.И. Демченко	1	1108	1936-03-15T00:00:00	1936-03-15T00:00:00	2	2	1	1	1	12	46	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
